10 digit HTS,10 digit HTS Description,APHIS Flag,APHIS Flag Description,APHIS Primary Category Type,Category Code,APHIS Operational Program,Category Code Description,APHIS Secondary Category Type
9817.00.70.00,"ANIMALS, GAME, IMPORTED TO BE LIBERATED FOR STOCKING",flag not enforced,flag not enforced,AP0100 Live Animal,Refer to Chapter 1 and 3 codes,VS,Refer to Chapter 1 and 3 descriptions,N/A
9812.00.20.00,ARTICLES FOR EXHIBITION UNDER BOND,AQ1,APHIS Data May Be Required,AP0700 Miscellaneous Processed Product,Multiple Codes May Apply,PPQ,Multiple Descriptions May Apply,N/A
9811.00.60,"Any sample (except samples covered by heading 9811.00.20
or 9811.00.40), valued not over $1 each, or marked, torn,
perforated or otherwise treated so that it is unsuitable for sale
or for use otherwise than as a sample, to be used in the United
States only for soliciting orders for products of foreign
countries",AQ1,APHIS Data May Be Required,AP0300 Animal Product,Multiple Codes May Apply,VS,Multiple Descriptions May Apply,N/A
9810.00.70.00,WILD ANIMALS IMPORTED FOR SCIENTIFIC/EDUCATIONAL PURPOSES,flag not enforced,flag not enforced,AP0100 Live Animal,Refer to Chapter 1 and 3 codes,VS,Refer to Chapter 1 and 3 descriptions,N/A
9808.00.60.00,"PLANTS, SEEDS & OTHR PLANTING; D.AGRICULTURE/US BOT GARDEN",AQ2,APHIS Data Is Required,AP0400 Propagative Material,"402, 403",PPQ,"Plants for Planting or Propagation (whole), Seeds for Planting (For Sowing)",N/A
9804.00.55,"Articles imported by or for the account of any person arriving
in the United States who is a returning resident thereof
(including American citizens who are residents of American
Samoa, Guam or the Virgin Islands of the United States): Game animals (including birds and fish) killed abroad by
him and imported by him for noncommercial purposes",AQ1,APHIS Data May Be Required,AP0300 Animal Product,"301, 305, 316",VS,"Edible Meat and poultry: Meat and Meat Products, Animal Consumption Products, Trophies (for Personal Display)",N/A
9801.00.10.98,"Products Of The U.S. When Returned After Having Been Exported, Without Having Been Advanced In Value Or Improved In Condition By Any Process, Others",AQ1,APHIS Data May Be Required,AP0300 Animal Product,Multiple Codes May Apply,VS,Multiple Descriptions May Apply,N/A
9801.00.10.63,OTHER US GOODS RETURNED:IN 8701; NOT ADVANCED IN VALUE,AQX,APHIS Data May Be Required [WARNING],AP0200 Related Animal Product,206,VS,Used Farm Machinery,N/A
9801.00.10.28,OTHER US GOODS RETURNED:IN CHAPTER 30; NOT ADVANCED IN VALUE,AQX,APHIS Data May Be Required [WARNING],AP0300 Animal Product,Refer to Chapter 30 codes,VS,Refer to Chapter 30 descriptions,N/A
9801.00.10.15,OTHER US GOODS RETURNED:CHAPTER 2 OR 16;N/ ADVANCED IN VALUE,AQ1,APHIS Data May Be Required,AP0300 Animal Product,Refer to Chapter 2 or 16 codes,VS,Refer to Chapter 2 or 16 descriptions,N/A
9801.00.10.10,ARTICLES EXPORTED FOR TEMP USE ABROAD: US GOODS N/IMPROVED,AQ1,APHIS Data May Be Required,AP0300 Animal Product,Multiple Codes May Apply,VS,Multiple Descriptions May Apply,N/A
9705.29.00.00,"Other; Collections and collectors' pieces of zoological, botanical, mineralogical, anatomical or paleontological interest:",AQ1,APHIS Data May Be Required,AP0300 Animal Product,"315, 316 or 722, 703 ",VS,Hides and Related By Product or Trophies (for Personal Display) or Wood Products or Brassware,AP0700 Miscellaneous Processed Product
9705.22.00.00,"Extinct or endangered species and parts thereof; Collections and collectors' pieces of zoological, botanical, mineralogical, anatomical or paleontological interest:",AQ1,APHIS Data May Be Required,AP0300 Animal Product,"315, 316 or 722, 703 ",VS,Hides and Related By Product or Trophies (for Personal Display) or Wood Products or Brassware,AP0700 Miscellaneous Processed Product
9705.10.00.90,"Other; Collections and collectors' pieces of archaeological, ethnographic or historical interest",AQ1,APHIS Data May Be Required,AP0300 Animal Product,"315, 316 or 722, 703 ",VS,Hides and Related By Product or Trophies (for Personal Display) or Wood Products or Brassware,AP0700 Miscellaneous Processed Product
9705.10.00.20,Ethnographic pieces of a kind described in statistical note 1 to this chapter ,AQ1,APHIS Data May Be Required,AP0300 Animal Product,"315, 316 or 722, 703 ",VS,Hides and Related By Product or Trophies (for Personal Display) or Wood Products or Brassware,AP0700 Miscellaneous Processed Product
9705.10.00.10,Archaeological pieces of a kind described in statistical note 1 to this chapter ,AQ1,APHIS Data May Be Required,AP0300 Animal Product,"315, 316 or 722, 703 ",VS,Hides and Related By Product or Trophies (for Personal Display) or Wood Products or Brassware,AP0700 Miscellaneous Processed Product
9703.90.00.00,"ORIGINAL SCULPTURES AND STATUARY, IN ANY MATERIAL;other",AQ1,APHIS Data May Be Required,AP0700 Miscellaneous Processed Product,722,PPQ,Wood Products,N/A
9703.10.00.00,"ORIGINAL SCULPTURES AND STATUARY, IN ANY MATERIAL;Of an age exceeding 100 years",AQ1,APHIS Data May Be Required,AP0700 Miscellaneous Processed Product,722,PPQ,Wood Products,N/A
9603.90.80.50,BROOMS OTHER: OTHER,AQX,APHIS Data May Be Required [WARNING],AP0700 Miscellaneous Processed Product,704,PPQ,Broomcorn and broomstraw,N/A
9603.90.80.40,BROOMS OTHER: OTHER BROOMS,AQX,APHIS Data May Be Required [WARNING],AP0700 Miscellaneous Processed Product,704,PPQ,Broomcorn and broomstraw,N/A
9603.90.80.30,"BROOMS OTHER: Push brooms, 41 cm or less in width",AQX,APHIS Data May Be Required [WARNING],AP0700 Miscellaneous Processed Product,717,PPQ,Processed or dried plant materials,N/A
9603.90.80.20,BROOMS OTHER: UPRIGHT BROOMS ,AQX,APHIS Data May Be Required [WARNING],AP0700 Miscellaneous Processed Product,704,PPQ,Broomcorn and broomstraw,N/A
9603.90.80.10,BROOMS OTHER: WHISKBROOMS,AQX,APHIS Data May Be Required [WARNING],AP0700 Miscellaneous Processed Product,704,PPQ,Broomcorn and broomstraw,N/A
9603.10.90.00,BROOMS OTHER,AQ1,APHIS Data May Be Required,AP0700 Miscellaneous Processed Product,704,PPQ,Broomcorn and broomstraw,N/A
9603.10.60.00,"Other brooms, wholly or in part of broom corn: Valued over 0.96 each",AQ1,APHIS Data May Be Required,AP0700 Miscellaneous Processed Product,704,PPQ,Broomcorn and broomstraw,N/A
9603.10.50.00,"Other brooms, wholly or in part of broom corn: Valued not over 0.96 each: OTHER",AQ1,APHIS Data May Be Required,AP0700 Miscellaneous Processed Product,704,PPQ,Broomcorn and broomstraw,N/A
9603.10.40.00,"Other brooms, wholly or in part of broom corn: Valued not over 0.96 each: withdrawal from warehouse for consumption, of 121,478 dozen brooms",AQ1,APHIS Data May Be Required,AP0700 Miscellaneous Processed Product,704,PPQ,Broomcorn and broomstraw,N/A
9603.10.35.00,"Whiskbrooms, wholly or in part of broom corn: Valued over 0.96 each",AQ1,APHIS Data May Be Required,AP0700 Miscellaneous Processed Product,704,PPQ,Broomcorn and broomstraw,N/A
9603.10.15.00,"Whiskbrooms, wholly or in part of broom corn: Valued not over 0.96 each: OTHER",AQ1,APHIS Data May Be Required,AP0700 Miscellaneous Processed Product,704,PPQ,Broomcorn and broomstraw,N/A
9603.10.05.00,"Whiskbrooms, wholly or in part of broom corn: Valued not over 0.96 each: withdrawal from warehouse for comsumption, of 61,655 dozen whiskbrooms",AQ1,APHIS Data May Be Required,AP0700 Miscellaneous Processed Product,704,PPQ,Broomcorn and broomstraw,N/A
9602.00.10.80,"Worked vegetable or mineral carving material and articles of
these materials; molded or carved articles of wax, of stearin,
of natural gums or natural resins, of modeling pastes, and other
molded or carved articles, not elsewhere specified or included;
worked, unhardened gelatin (except gelatin of heading 3503)
and articles of unhardened gelatin: Worked unhardened gelatin and articles thereof: Other",AQ1,APHIS Data May Be Required,AP0300 Animal Product,314,VS,Gelatin,N/A
9602.00.10.40,UNFILLED GELATIN CAPSULES,AQ1,APHIS Data May Be Required,AP0300 Animal Product,314,VS,Gelatin,N/A
9505.90.40.00,CONFETTI/PAPER SPIRALS/STREAMERS;PARTY FAVORS & NOISEMAKERS,AQX,APHIS Data May Be Required [WARNING],AP0700 Miscellaneous Processed Product,722,PPQ,Wood Products,N/A
9505.10.50.20,OTHER ARTICLES FOR CHRISTMAS FESTIVITIES AND PARTS & ACCESSS,AQX,APHIS Data May Be Required [WARNING],AP0700 Miscellaneous Processed Product,722,PPQ,Wood Products,N/A
9505.10.40.20,"Other, Of Plastics, Other, Articles for Christmas festivities and parts and accessories thereof",AQX,APHIS Data May Be Required [WARNING],AP0700 Miscellaneous Processed Product,722,PPQ,Wood Products,N/A
9505.10.40.10,"Other, Of Plastics, Artificial Christmas trees, Articles for Christmas festivities and parts and accessories thereof",AQX,APHIS Data May Be Required [WARNING],AP0700 Miscellaneous Processed Product,722,PPQ,Wood Products,N/A
9505.10.25.00,OTHER CHRISTMAS ORNAMENTS NOT OF GLASS OR WOOD,AQX,APHIS Data May Be Required [WARNING],AP0700 Miscellaneous Processed Product,722,PPQ,Wood Products,N/A
9505.10.15.00,CHRISTMAS ORNAMENTS OF WOOD,AQX,APHIS Data May Be Required [WARNING],AP0700 Miscellaneous Processed Product,722,PPQ,Wood Products,N/A
9403.89.30.10,"CANE, OSIER, BAMBOO OR SIMILAR MATERIAL FURNITR, HOUSEHOLD",AQ1,APHIS Data May Be Required,AP0700 Miscellaneous Processed Product,722,PPQ,Wood Products,N/A
9403.60.80.93,"OTH, WOODEN FURNITURE PRTS, THEREOF, OTHER",AQX,APHIS Data May Be Required [WARNING],AP0700 Miscellaneous Processed Product,722,PPQ,Wood Products,N/A
