htsCode,description,program
2845900100,ISOTOPE EXC HDG 2844; COMPOUND INORGAN/ORGAN NESOI,DEA
2933193500,AROMATIC OR MOD AROM DRUGS CONT AN UNFUSED PYR ETC,DEA
2933294500,DRUGS (EXC AROM OR MOD AROM) CONT AN UNFUS IMI ETC,DEA
2933321000,PIPERDINE,DEA
2933325000,"PIPERIDINE AND ITS SALTS, NESOI",DEA
2933330000,"ALFENTANIL, AMILERIDINE, BEZITRAMIDE(INN), ETC.",DEA
2933410000,LEVORPHANOL (INN) AND ITS SALTS,DEA
2933492250,DRUGS CONT A QUINOLINE OR ISOQUINOLINE RNG-SYS ETC,DEA
2933492600,"DRUGS CONT A QUINOLINE OR ISOQUINOLINE ETC, NESOI",DEA
2933530000,"ALLOBARBITAL, AMOBARBITAL, BARBITAL (INN) NESOI",DEA
2933550000,"LOPRAZOLAM (INN), MECLOQUALONE (INN), ETC & SALTS",DEA
2932205010,BUTYROLACTONE,DEA
2932205050,OTHER NON-AROMATIC LACTONES,DEA
2932920000,"1-(1,3-BENZODIOXOL-5-YL) PROPAN-2-ONE",DEA
2932930000,PIPERONAL (HELIOTROPIN),DEA
2932940000,SAFROLE,DEA
2932950000,TETRAHYDROCANNABINOLS (ALL ISOMERS),DEA
2932996100,AROM HETEROCYC ETC OF PROD IN US NT 3 SEC6 NESOI,DEA
2932999000,HETEROCYC CMPDS WITH OXY HETERO-ATOM(S) ONLY NESOI,DEA
2933991200,"AROM/MOD AROM HETEROCYC CMPNDS W/ NIT, NESOI",DEA
2933995590,"ANALGESICS, ANTIPYRETICS & NON-HORMONAL AGTS NESOI",DEA
2933997000,"DRUGS PRIM AFFECT THE CENT NERV SYSTEM, NESOI",DEA
2934910000,"AMINOREX, BROTIZOLAM, CLOTIAZEPAM (INN) ETC.",DEA
2933594600,"ANTIDEP., TRANQ., ETC. W/ PYRIMIDINE RING",DEA
2933595960,DRUGS CONT A PYRIMIDINE OR PIPERAZINE RING ETC,DEA
2933720000,CLOBAZAM (INN) AND METHYPRYLON (INN),DEA
2933790800,"LACTAMS OF PROD. DESCR. IN ADD. U.S. NOTE 3, NESOI",DEA
2933910000,"ALPRAZOLAM, CAMAZEPAM, CHORDIAZEPOXIDE (INN), ETC.",DEA
2934993000,"AROM./MODIFIED, HETROCYC CMDPS., AS DRUGS, NESOI",DEA
2937299050,"ANABOLIC AGENTS AND ANDROGENS, NESOI",DEA
3003390000,MEDICAMENT CONT HORMONES OR PROD OF HD 2937 ETC,DEA
3004390050,"MEDICAMENTS W/ HORMONES OR PRODUCTS OF 2937, NESOI",DEA
3004901000,"MEDICAMENTS CONT ANTIGENS OR HYALURONIC ACID,ETC",DEA
2939110000,"CONCENTRATES OF POPPY STRAW, BUPRENORPHNE (INN)",DEA
2939110000,"CONCENTRATES OF POPPY STRAW, BUPRENORPHNE (INN)",DEA
2939190000,"ALKALOIDS OF OPIUM AND THEIR DERIV, SALTS, NESOI",DEA
2939191000,PAPAVERINE AND ITS SALTS,DEA
2939192000,SYN ALKALOIDS OF OPIUM AND THEIR DERIV; SALTS ETC,DEA
2939195000,"VEG. ALKALOIDS AND THEIR SALTS, ETC., NESOI",DEA
2939410000,EPHEDRINE AND ITS SALTS,DEA
2939420000,PSEUDOEPHEDRINE AND ITS SALTS,DEA
