Heading,Chapter,Article/Component of Article,Effective Date
1211201090,12,Wild ginseng roots,12/1/2024
1211500000,12,Ephedra,12/1/2024
1211600000,12,Bark of African cherry (Prunus africana),12/1/2024
1302140100,13,Vegetable saps and extracts of ephedra,12/1/2024
1401,14,Vegetable materials of a kind used for plaiting,12/1/2024
1404903000,14,"Istle of a kind used primarily in brooms or in brushes, whether or not in hanks or bundles",12/1/2024
1404904000,14,"Other vegetable materials used primarily in brooms or in brushes, whether or not in hanks or bundles",12/1/2024
1404909020,14,"Raw canaigre, chestnut, curupay, divi-divi, eucalyptus, gall nuts, hemlock, larch, mangrove, myrobalan, oak, quebracho, sumac, tara, urunday, valonia, wattle materials of a kind used Primarily in tanning",12/1/2024
1404909040,14,Other raw vegetable materials of a kind used primarily in dyeing or tanning,12/1/2024
3301295109,33,Essential oils of cedarwood,10/1/2021
3301295121,33,Essential oils of linaloe or bois de rose,10/1/2021
3301295139,33,Essential oils of sandalwood,10/1/2021
3301295141,33,Essential oils of sassafras includingOcotea cymbarum,12/1/2024
3301295150,33,Other essential oils,12/1/2024
3303001000,33,Floral or flowers waters,12/1/2024
3307410000,33,“Agarbatti” and other odoriferous preparations which operate by burning,12/1/2024
3307490000,33,"Other preparations for perfuming or deodorizing rooms, including odoriferous preparations used during religious rites",12/1/2024
3605000030,36,Matches with natural wood stems,12/1/2024
3805901000,38,Pine oil,12/1/2024
4202292000,42,"Handbags, of Materials Wholly Or Mainly Covered With Paper, Of Wood",10/1/2021
4202992000,42,"Other, of wood, not lined",10/1/2021
4202993000,42,"Other, of wood, lined",10/1/2021
4202392000,42,Wood articles of a kind normally carried in the pocket or in the handbag,12/1/2024
4202925000,42,Musical instrument cases,12/1/2024
4202929315,42,"Jewelry boxes, and similar containers of a kind normally sold at retail with their contents",12/1/2024
4401,44,Fuel wood,4/1/2009
4402,44,Wood charcoal,10/1/2009
4403,44,Wood in the rough,4/1/2009
4404,44,"Hoopwood; poles, piles, stakes",4/1/2009
4406,44,Railway or tramway sleepers,4/1/2009
4407,44,Wood sawn or chipped lengthwise,4/1/2009
4408,44,Sheets for veneering,4/1/2009
4409,44,Wood continuously shaped,4/1/2009
441012,44,Oriented strand board (OSB),10/1/2021
4412,44,"Plywood, veneered panels",10/1/2009
4414,44,Wooden frames,10/1/2009
4415,44,"Cases, boxes, crates, drums, containers, pallets, box-pallets, etc.",10/1/2021
4416003010,44,"New casks, barrels, and parts of wood",8/6/2015
4416003020,44,Used assembled casks of wood,8/6/2015
4416003030,44,Used unassembled casks of wood,8/6/2015
4416006010,44,New barrel staves of woody,8/6/2015
4416006020,44,New barrel hoops of softwood,8/6/2015
4416006030,44,New tight barrelheads of wood,8/6/2015
4416006040,44,Used barrels staves of softwood,8/6/2015
4416006050,44,"Used hoops, tight barrelheads of softwood",8/6/2015
4416009020,44,"New other casks, barrels, wood",8/6/2015
4416009040,44,"Used other cooper goods, wood",8/6/2015
4417,44,"Tools, tool handles, broom handles",4/1/2009
4418,44,Builders joinery and carpentry of wood,4/1/2009
4419,44,Tableware & kitchenware of wood,10/1/2009
4420,44,"Wood marquetry, caskets, statuettes",10/1/2009
4421,44,Other articles of wood,4/1/2010
4412,44,"Plywood, veneered panels and similar laminated wood",12/1/2024
4413,44,"Densified wood, in blocks, plates, strips or profile shapes",12/1/2024
4501,45,"Natural cork, raw or simply prepared; waste cork; crushed, granulated, or ground cork",12/1/2024
4503,45,Articles of natural cork,12/1/2024
460121,46,"Bamboo mats, matting, and screens",12/1/2024
460122,46,"Rattan mats, matting, and screens",12/1/2024
460129,46,"Mats, matting, and screens of other vegetable materials",12/1/2024
460192,46,"Bamboo plaits and similar products of plaiting materials, whether or not assembled into strips; plaiting materials, plaits and similar products of plaiting materials, bound together in parallel Strands or woven, in sheet form, whether or not being finished articles",12/1/2024
460193,46,"Rattan plaits and similar products of plaiting materials, whether or not assembled into strips; plaiting materials, plaits and similar products of plaiting materials, bound together in parallel strands or woven, in sheet form, whether or not being finished articles",12/1/2024
460194,46,"Plaits and similar products of plaiting materials, whether or not assembled into strips; plaiting materials, plaits and similar products of plaiting materials, bound together in parallel strands or woven, in sheet form, whether or not being finished articles of other vegetable materials",12/1/2024
460211,46,"Bamboo basketwork, wickerwork and other articles",12/1/2024
460212,46,"Rattan basketwork, wickerwork and other articles",12/1/2024
4602190500,46,Fishing baskets or creels of other vegetable materials,12/1/2024
4602191200,46,"Willow baskets and bags, whether or not lined",12/1/2024
4602193500,46,Other willow or wood wickerwork,12/1/2024
4602194500,46,Other goods made from willow or wood plaits,12/1/2024
4602196000,46,Wickerwork of other vegetable materials,12/1/2024
4602198000,46,Other goods made from vegetable material plaits,12/1/2024
5608901000,56,Fish netting and fishing nets of materials other than manmade materials,12/1/2024
64029923,64,Footwear with a base or platform of wood with outer soles and uppers or rubber or plastics; and uppers of which over 90 percent of the external surface is rubber or plastics,12/1/2024
64029925,64,Footwear with a base or platform of cork with outer soles and uppers of rubber or plastics; and uppers of which over 90 percent of the external surface is rubber or plastics,12/1/2024
64035111,64,"Footwear covering the ankle, with outer soles of leather, made on a base or platform of wood, not having an inner sole or a protective metal toe-cap",12/1/2024
64035910,64,"Other footwear, with outer soles of leather made on a base or platform of wood, not having an inner sole or a protective metal toe-cap",12/1/2024
64039111,64,"Other footwear covering the ankle made on a base or platform of wood, not having an inner sole or a protective metal toe-cap",12/1/2024
64039910,64,"Other shoes made on a base or platform of wood, not having an inner sole or a protective metal toe-cap",12/1/2024
64039920,64,Other footwear made on a base or platform of wood,12/1/2024
6602,66,"Walking sticks, whips, crops",4/1/2010
6601,66,Umbrellas and sun umbrellas,12/1/2024
660320,66,"Umbrella frames, including frames mounted on shafts",12/1/2024
66039041,66,"Umbrella handles, knobs, tips, and caps",12/1/2024
8201,82,Hand tools,4/1/2010
8211926000,82,Hunting knives with wood handles,8/6/2015
8215992400,82,Table barbeque forks with wood handles,8/6/2015
820210,82,Handsaws and parts thereof,12/1/2024
820310,82,"Files, rasps, and similar tools",12/1/2024
82032020,82,Tweezers,12/1/2024
8203206030,82,Pliers,12/1/2024
820520,82,"Hammers and sledgehammers, and parts thereof",12/1/2024
820530,82,"Planes, chisels, gouges, and similar cutting tools for working wood, and parts thereof",12/1/2024
820540,82,"Screwdrivers, and parts thereof",12/1/2024
82055115,82,"Carving and butchers steels, with or without handles",12/1/2024
8205513030,82,Kitchen and table implements,12/1/2024
8206,82,"Tools of two or more headings 8202 to 8205, put up in sets for retail sale",12/1/2024
821110,82,Sets of assorted knives,12/1/2024
8211918030,82,Steak knives,12/1/2024
82119290,82,Other knives with fixed blades,12/1/2024
82119300,82,Knives having other than fixed blades,12/1/2024
821410,82,"Paper knives, letter openers, erasing knives, nonmechanical pencil sharpeners, and blades and parts thereof",12/1/2024
821420,82,"Manicure or pedicure sets and instruments (including nail files), and parts thereof",12/1/2024
82149030,82,Cleavers with their handles,12/1/2024
82159940,82,Spoons and ladles with base metal (except stainless steel) or non-metal handles,12/1/2024
841891,84,Furniture designed to receive refrigerating or freezing equipment,12/1/2024
84189940,84,Refrigerating or freezing equipment door assemblies incorporating more than one of the following: inner panel; outer panel; insulation; hinges; handles,12/1/2024
8436800070,84,Bee-keeping machinery,12/1/2024
8436990030,84,Parts of bee-keeping machinery,12/1/2024
843840,84,Brewery machinery,12/1/2024
844520,84,Textile spinning machines,12/1/2024
8446100010,84,Power looms for weaving fabrics of a width not exceeding 30 cm,12/1/2024
8447119090,84,Other circular knitting machines with circular diameter not exceeding 165 mm,12/1/2024
8447129090,84,Other circular knitting machines with circular diameter exceeding 165 mm,12/1/2024
844811,84,"Dobbies and jacquards; card reducing, copying, punching or assembling machines for use with machines of heading 8444, 8445, 8446 or 8447",12/1/2024
844833,84,"Spindles, spindle flyers, spinning rings, and ring travellers",12/1/2024
8448420000,84,"Reeds for loom, healds, and heald-frames for weaving machines or of their auxiliary machinery",12/1/2024
84509040,84,"Furniture designed to receive the machines of subheadings 8450.11 through 8450.20, inclusive",12/1/2024
8451210090,84,Other drying machines,12/1/2024
8451906000,84,Furniture designed to receive the drying machines of subheading 8451.21 or 8451.29,12/1/2024
84529010,84,"Furniture, bases and covers for sewing machines, and parts thereof",12/1/2024
8481805060,84,"Bath, shower, sink, and lavatory faucets",12/1/2024
84819050,84,Parts of hand operated and check appliances,12/1/2024
851821,85,"Single loudspeakers, mounted in their enclosures",12/1/2024
851822,85,"Multiple loudspeakers, mounted in the same enclosure",12/1/2024
8538100000,85,"Boards, panels, consoles, desks, cabinets, and other bases for goods of heading 8537, not equipped with their apparatus",12/1/2024
8543709810,85,Amplifiers,12/1/2024
8543709820,85,Special effects pedals for use with musical instruments,12/1/2024
87089450,87,Steering wheels for other vehicles,12/1/2024
871610,87,Trailers and semi-trailers for housing or camping,12/1/2024
871620,87,Self-loading or self-unloading trailers and semi-trailers for agricultural purposes,12/1/2024
8716390010,87,Agricultural trailers,12/1/2024
8716390020,87,Trailers for use with vehicles of heading 8709,12/1/2024
8716400000,87,Other trailers and semi-trailers,12/1/2024
87168010,87,Farm wagons and carts,12/1/2024
8716901090,87,Parts of farm wagons and carts,12/1/2024
8802200115,88,Airplanes and other aircraft with unladen weight not exceeding 450 kg,12/1/2024
890110,89,"Cruise ships, excursion boats and similar vessels principally designed for the transport of persons; ferry boats of all kinds",12/1/2024
890190,89,Other vessels for the transport of goods and other vessels for the transport of both persons and goods,12/1/2024
8902,89,"Fishing vessels, factory ships, and other vessels for processing or preserving fishery products",12/1/2024
890321,89,"Sailboats, other than inflatable, with or without auxiliary motor of a length not exceeding 7.5 m",12/1/2024
890322,89,"Sailboats, other than inflatable, with or without auxiliary motor of a length exceeding 7.5 m but not exceeding 24 m",12/1/2024
890323,89,"Sailboats, other than inflatable, with or without auxiliary motor of a length exceeding 24 m",12/1/2024
890331,89,"Motorboats, other than inflatable, not including outboard motorboats of a length not exceeding 7.5 m",12/1/2024
890332,89,"Motorboats, other than inflatable, not including outboard motorboat of a length exceeding 7.5 m but not exceeding 24 m",12/1/2024
890333,89,"Motorboats, other than inflatable, not including outboard motorboat of a length exceeding 24 m",12/1/2024
89039305,89,Canoes not of a type designed to be principally used with motors or sails of a length not exceeding 7.5 m,12/1/2024
89039315,89,Other row boats not of a type designed to be principally used with motors or sails of a length not exceeding 7.5 m,12/1/2024
89039390,89,Other vessels for pleasure or sports of a length not exceeding 7.5 m,12/1/2024
89039906,89,Other canoes,12/1/2024
89039916,89,Other rowboats,12/1/2024
8903999100,89,Other vessels,12/1/2024
8904,89,Tug boats and pusher crafts,12/1/2024
8905901000,89,Floating docks,12/1/2024
900319,90,"Frames and mountings for spectacles, goggles or the like of non-plastics materials",12/1/2024
900390,90,"Parts for spectacles, goggles or the like",12/1/2024
