htsCode,description,species,program
0307.81.0000,"Live, Fresh or Chilled Abalone (Haliotis spp.)",Abalone,SIMP
0307.83.0000,Frozen Abalone (Haliotis spp.),Abalone,SIMP
0307.87.0000,"Dried, Salted, in Brine, or Smoked NSPF Abalone (Haliotis spp.) ",Abalone,SIMP
1605.57.0500,Prepared meals containing Abalone,Abalone,SIMP
1605.57.6000,Prepared or preseved Abalone; Other than in prepared meals,Abalone,SIMP
1605.10.2051,"Crabmeat (Callinectes spp., including blue crabs (C. sapidus)); In airtight containers",Atlantic Blue Crab,SIMP
1605.10.4025,"Frozen Crabmeat of Swimming Crabs (Callinectes spp., including blue crabs (C. sapidus)); Not in airtight containers",Atlantic Blue Crab,SIMP
0302.51.0010,Fresh or Chilled Atlantic Cod (Gadus morhua),"Cod (Atlantic, Pacific, Gadus spp)",SIMP
0302.51.0090,"Fresh or Chilled Cod (Gadus ogac, Gadus macrocephalus); Other than Atlantic Cod","Cod (Atlantic, Pacific, Gadus spp)",SIMP
0303.63.0010,Frozen Atlantic Cod (Gadus morhua),"Cod (Atlantic, Pacific, Gadus spp)",SIMP
0303.63.0090,"Frozen Cod (Gadus ogac, Gadus macrocephalus); Other than Atlantic Cod","Cod (Atlantic, Pacific, Gadus spp)",SIMP
0304.44.0010,Fresh Atlantic Cod Fillets (Gadus morhua),"Cod (Atlantic, Pacific, Gadus spp)",SIMP
0304.44.0015,"Fresh Cod (Gadus ogac, Gadus macrocephalus) Fillets; Other than Atlantic Cod","Cod (Atlantic, Pacific, Gadus spp)",SIMP
0304.53.0010,Fresh Atlantic Cod (Gadus morhua) Fillets,"Cod (Atlantic, Pacific, Gadus spp)",SIMP
0304.53.0015,"Fresh Cod (Gadus ogac, Gadus macrocephalus) Fillets; Other than Atlantic Cod","Cod (Atlantic, Pacific, Gadus spp)",SIMP
0304.71.1000,"Frozen Cod (Gadus morhua, Gadus ogac, Gadus macrocephalus) Fillets; Skinned ","Cod (Atlantic, Pacific, Gadus spp)",SIMP
0304.71.5000,"Frozen Cod (Gadus morhua, Gadus ogac, Gadus macrocephalus) Fillets; Other than Skinned","Cod (Atlantic, Pacific, Gadus spp)",SIMP
0304.95.1010,"Frozen Cod (Gadus morhua, Gadus ogac, Gadus macrocephalus) Fillets; Minced; In bulk or in immediate containers weighing with their contents over 6.8 kg each","Cod (Atlantic, Pacific, Gadus spp)",SIMP
0304.95.1020,"Frozen Cod (Gadus morhua, Gadus ogac, Gadus macrocephalus) Fillets, Other than Minced; In bulk or in immediate containers weighing with their contents over 6.8 kg each","Cod (Atlantic, Pacific, Gadus spp)",SIMP
